item_id,feature_id,data
0,1,1
1,3,1
2,4,1
3,1,1
4,3,1
5,2,1
6,1,1
7,3,1
8,1,1
10,1,1
11,1,1
12,1,1
13,3,1
15,1,1
16,1,1
17,3,1
18,1,1
19,1,1
20,4,1
21,4,1
22,2,1
25,3,1
26,1,1
27,1,1
28,4,1
30,3,1
31,4,1
33,1,1
35,1,1
36,1,1
37,4,1
38,4,1
39,1,1
40,4,1
41,3,1
42,2,1
43,4,1
44,3,1
46,4,1
47,4,1
48,4,1
49,4,1
51,4,1
52,4,1
53,3,1
54,1,1
55,3,1
56,3,1
57,4,1
58,4,1
59,1,1
61,1,1
62,4,1
63,3,1
65,1,1
67,1,1
68,3,1
69,4,1
70,1,1
71,4,1
72,3,1
73,1,1
75,4,1
76,3,1
77,4,1
79,1,1
80,1,1
81,2,1
82,1,1
83,4,1
84,1,1
86,4,1
87,4,1
88,4,1
89,1,1
93,1,1
94,4,1
95,1,1
96,3,1
97,7,1
98,3,1
99,1,1
100,3,1
102,3,1
103,3,1
104,1,1
105,3,1
106,4,1
107,4,1
108,1,1
109,1,1
110,1,1
111,4,1
113,1,1
114,1,1
116,4,1
117,1,1
118,3,1
119,4,1
120,4,1
122,1,1
124,1,1
125,1,1
126,3,1
127,3,1
128,1,1
129,1,1
130,4,1
133,2,1
134,1,1
135,1,1
136,3,1
137,4,1
139,1,1
140,4,1
141,2,1
142,1,1
143,1,1
144,1,1
145,2,1
148,3,1
152,3,1
153,3,1
154,1,1
156,3,1
157,3,1
158,4,1
159,2,1
160,1,1
161,1,1
162,4,1
163,4,1
164,3,1
166,4,1
167,1,1
168,1,1
170,4,1
171,1,1
172,1,1
173,3,1
174,4,1
175,1,1
176,1,1
177,4,1
178,1,1
179,4,1
181,1,1
183,4,1
184,4,1
185,4,1
186,3,1
187,1,1
188,1,1
189,1,1
192,1,1
193,1,1
194,1,1
195,4,1
196,1,1
197,3,1
198,1,1
200,3,1
202,3,1
203,3,1
206,1,1
207,1,1
208,2,1
209,1,1
210,1,1
211,1,1
212,1,1
214,3,1
215,1,1
219,3,1
221,1,1
222,2,1
223,2,1
225,4,1
227,4,1
228,1,1
229,4,1
230,1,1
232,3,1
233,4,1
234,1,1
235,1,1
236,4,1
237,3,1
238,3,1
241,4,1
242,4,1
243,4,1
244,1,1
245,1,1
246,3,1
247,1,1
248,4,1
249,3,1
251,4,1
253,1,1
254,4,1
256,1,1
257,4,1
258,4,1
259,2,1
260,4,1
261,1,1
262,4,1
263,4,1
264,4,1
265,1,1
266,3,1
268,4,1
270,2,1
271,2,1
272,3,1
273,1,1
274,4,1
275,1,1
277,1,1
278,2,1
279,1,1
280,1,1
282,3,1
283,2,1
284,1,1
285,1,1
286,1,1
288,4,1
289,1,1
291,1,1
292,1,1
294,1,1
295,2,1
296,2,1
297,3,1
298,4,1
299,1,1
300,1,1
302,4,1
303,4,1
305,4,1
306,2,1
307,4,1
308,1,1
309,4,1
310,4,1
311,3,1
312,4,1
313,4,1
314,4,1
316,1,1
318,2,1
319,1,1
320,2,1
321,4,1
322,4,1
323,2,1
324,1,1
325,3,1
326,4,1
327,4,1
328,1,1
330,1,1
331,4,1
332,1,1
333,4,1
334,1,1
335,1,1
336,1,1
337,4,1
338,3,1
339,3,1
340,1,1
341,3,1
342,4,1
344,1,1
345,2,1
346,3,1
347,4,1
348,1,1
349,3,1
350,1,1
351,1,1
352,3,1
353,1,1
354,1,1
355,3,1
356,1,1
358,3,1
359,4,1
360,3,1
361,3,1
362,1,1
363,3,1
364,3,1
366,1,1
367,1,1
368,3,1
369,4,1
370,3,1
371,1,1
372,1,1
375,4,1
377,4,1
378,1,1
379,1,1
380,4,1
381,4,1
382,1,1
383,4,1
384,2,1
385,1,1
386,4,1
388,1,1
389,4,1
390,1,1
391,1,1
393,1,1
394,1,1
395,3,1
396,3,1
398,1,1
399,2,1
400,1,1
402,4,1
404,1,1
406,1,1
408,1,1
409,1,1
410,3,1
411,2,1
412,1,1
413,1,1
415,1,1
416,3,1
417,1,1
418,4,1
419,4,1
420,4,1
421,1,1
422,4,1
424,3,1
425,1,1
427,4,1
428,1,1
429,3,1
431,1,1
432,4,1
433,3,1
436,4,1
437,1,1
438,4,1
439,1,1
440,4,1
441,4,1
442,1,1
444,2,1
446,4,1
447,4,1
448,1,1
450,1,1
451,1,1
452,4,1
453,3,1
456,4,1
457,1,1
458,4,1
459,3,1
460,1,1
461,4,1
462,1,1
463,1,1
464,1,1
465,1,1
466,3,1
467,4,1
468,4,1
469,2,1
471,1,1
472,1,1
473,4,1
474,4,1
475,3,1
476,3,1
477,3,1
479,1,1
480,2,1
481,4,1
482,3,1
484,2,1
485,1,1
486,1,1
487,1,1
488,4,1
489,1,1
490,1,1
491,4,1
492,4,1
493,2,1
494,2,1
495,1,1
496,1,1
497,3,1
498,4,1
499,4,1
500,4,1
502,1,1
503,1,1
504,3,1
505,1,1
506,4,1
507,3,1
508,1,1
509,3,1
511,4,1
512,4,1
514,3,1
515,1,1
516,1,1
517,4,1
518,3,1
519,1,1
520,1,1
521,1,1
523,4,1
524,4,1
525,1,1
526,1,1
528,3,1
529,3,1
530,4,1
531,1,1
533,1,1
534,4,1
535,1,1
536,1,1
537,3,1
540,4,1
541,4,1
542,4,1
543,1,1
544,3,1
545,3,1
546,1,1
548,3,1
549,1,1
550,1,1
551,4,1
552,1,1
553,4,1
555,3,1
556,1,1
560,1,1
561,1,1
562,4,1
563,3,1
564,4,1
565,1,1
567,1,1
569,1,1
573,1,1
574,1,1
575,1,1
576,3,1
577,1,1
578,3,1
579,1,1
580,3,1
581,4,1
582,1,1
584,4,1
585,1,1
587,4,1
588,1,1
590,1,1
591,3,1
592,1,1
593,1,1
594,4,1
595,3,1
597,1,1
598,1,1
599,4,1
602,1,1
603,3,1
605,1,1
606,3,1
607,1,1
608,4,1
609,1,1
610,3,1
611,1,1
612,3,1
614,4,1
615,4,1
616,3,1
617,1,1
618,4,1
619,1,1
620,1,1
622,1,1
623,3,1
624,3,1
626,4,1
627,1,1
628,1,1
629,4,1
630,3,1
631,1,1
632,4,1
633,1,1
634,2,1
635,2,1
636,3,1
638,3,1
639,4,1
640,1,1
641,1,1
642,1,1
643,4,1
644,3,1
645,2,1
646,1,1
647,1,1
648,1,1
649,4,1
650,2,1
651,3,1
652,4,1
653,3,1
655,2,1
656,4,1
657,4,1
658,1,1
659,4,1
660,1,1
662,1,1
663,1,1
665,1,1
666,1,1
667,4,1
668,4,1
669,1,1
670,3,1
671,1,1
672,3,1
673,3,1
675,4,1
676,3,1
677,4,1
678,3,1
679,3,1
680,4,1
683,4,1
684,4,1
685,4,1
687,3,1
688,1,1
689,4,1
690,1,1
691,3,1
692,4,1
694,1,1
695,1,1
696,1,1
698,2,1
699,3,1
700,4,1
701,4,1
702,1,1
703,4,1
704,3,1
705,4,1
706,3,1
708,1,1
709,1,1
710,1,1
711,1,1
712,4,1
713,1,1
714,4,1
716,1,1
717,1,1
718,4,1
720,3,1
721,1,1
722,1,1
724,1,1
725,3,1
727,4,1
728,4,1
729,3,1
730,1,1
731,4,1
732,1,1
735,4,1
736,4,1
737,1,1
738,3,1
739,3,1
740,4,1
741,3,1
742,4,1
743,4,1
744,3,1
745,4,1
746,3,1
747,4,1
749,1,1
750,1,1
751,1,1
752,4,1
753,3,1
757,3,1
759,1,1
760,3,1
761,3,1
762,4,1
764,4,1
765,1,1
766,3,1
767,3,1
768,4,1
769,3,1
770,1,1
771,3,1
772,1,1
773,1,1
774,1,1
775,1,1
776,4,1
778,4,1
779,3,1
780,1,1
781,2,1
782,3,1
783,1,1
784,4,1
786,1,1
788,1,1
791,4,1
792,1,1
793,1,1
796,3,1
797,4,1
798,1,1
799,4,1
802,2,1
803,2,1
804,3,1
805,1,1
806,4,1
808,1,1
809,4,1
811,1,1
812,2,1
814,1,1
816,1,1
817,1,1
818,1,1
819,2,1
820,1,1
821,1,1
823,1,1
824,3,1
825,1,1
826,1,1
828,3,1
830,4,1
831,3,1
832,1,1
834,4,1
836,4,1
837,2,1
838,1,1
839,4,1
840,4,1
843,1,1
844,3,1
845,4,1
846,1,1
847,4,1
848,1,1
849,3,1
850,1,1
851,1,1
852,3,1
854,3,1
856,1,1
857,3,1
858,1,1
859,4,1
860,4,1
861,1,1
862,3,1
863,4,1
864,1,1
865,4,1
867,3,1
868,4,1
869,4,1
870,4,1
871,4,1
872,1,1
873,1,1
875,1,1
876,2,1
877,4,1
878,1,1
879,4,1
880,3,1
882,1,1
883,3,1
884,1,1
885,1,1
886,3,1
887,4,1
889,1,1
890,3,1
891,4,1
893,4,1
895,1,1
896,3,1
897,4,1
898,1,1
899,4,1
900,3,1
901,1,1
902,3,1
903,1,1
905,1,1
906,1,1
907,4,1
908,2,1
909,4,1
910,4,1
911,1,1
912,3,1
914,4,1
915,3,1
916,1,1
917,1,1
919,1,1
920,1,1
921,1,1
923,1,1
924,1,1
926,4,1
928,1,1
929,1,1
931,3,1
932,1,1
934,1,1
935,4,1
937,4,1
938,4,1
939,4,1
942,4,1
943,1,1
944,4,1
945,1,1
946,1,1
947,3,1
949,4,1
951,3,1
952,1,1
955,4,1
956,4,1
959,1,1
960,4,1
961,2,1
963,1,1
964,4,1
965,4,1
966,4,1
967,1,1
968,1,1
970,3,1
974,1,1
975,1,1
976,3,1
979,1,1
981,1,1
982,4,1
983,1,1
984,2,1
985,1,1
986,4,1
987,1,1
988,1,1
989,4,1
990,1,1
991,3,1
992,1,1
993,4,1
995,4,1
996,4,1
997,4,1
1000,1,1
1003,4,1
1004,4,1
1007,1,1
1008,4,1
1010,4,1
1011,3,1
1012,3,1
1013,1,1
1014,1,1
1015,4,1
1016,4,1
1017,1,1
1018,1,1
1019,2,1
1020,4,1
1021,3,1
1022,1,1
1023,1,1
1024,1,1
1026,4,1
1027,2,1
1028,1,1
1030,4,1
1031,3,1
1033,1,1
1035,1,1
1037,1,1
1038,1,1
1039,1,1
1040,1,1
1041,1,1
1044,3,1
1045,1,1
1046,3,1
1047,1,1
1048,1,1
1049,4,1
1050,1,1
1051,1,1
1052,4,1
1053,3,1
1054,1,1
1055,2,1
1056,4,1
1057,1,1
1058,1,1
1059,4,1
1060,1,1
1061,4,1
1062,1,1
1064,4,1
1065,4,1
1066,1,1
1067,4,1
1068,3,1
1069,4,1
1070,1,1
1071,4,1
1072,1,1
1074,4,1
1076,4,1
1079,1,1
1080,4,1
1083,4,1
1084,3,1
1085,1,1
1086,4,1
1088,1,1
1089,1,1
1091,1,1
1092,4,1
1093,1,1
1094,1,1
1095,4,1
1096,1,1
1097,1,1
1099,4,1
1100,3,1
1102,4,1
1104,1,1
1105,4,1
1107,3,1
1108,1,1
1109,1,1
1110,4,1
1112,4,1
1113,4,1
1114,1,1
1115,1,1
1118,1,1
1119,4,1
1120,1,1
1123,2,1
1124,4,1
1125,3,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,3,1
1131,4,1
1133,3,1
1134,3,1
1135,3,1
1136,3,1
1137,1,1
1138,1,1
1139,4,1
1141,2,1
1142,1,1
1143,3,1
1146,4,1
1147,1,1
1148,4,1
1149,1,1
1150,1,1
1151,4,1
1152,1,1
1153,1,1
1154,1,1
1155,1,1
1156,1,1
1157,2,1
1158,1,1
1159,4,1
1160,1,1
1162,1,1
1163,4,1
1164,1,1
1165,4,1
1166,1,1
1168,3,1
1169,1,1
1170,1,1
1171,2,1
1172,4,1
1173,1,1
1174,1,1
1175,1,1
1176,3,1
1177,1,1
1179,4,1
1180,1,1
1181,3,1
1182,4,1
1183,2,1
1184,2,1
1185,3,1
1186,4,1
1187,4,1
1189,3,1
1191,1,1
1192,3,1
1193,1,1
1194,1,1
1195,3,1
1197,4,1
1198,1,1
1199,3,1
1200,1,1
1201,3,1
1202,4,1
1203,1,1
1204,4,1
1205,1,1
1206,4,1
1207,3,1
1208,4,1
1209,1,1
1210,3,1
1211,1,1
1212,2,1
1214,3,1
1215,4,1
1216,3,1
1217,3,1
1218,3,1
1219,3,1
1220,4,1
1221,4,1
1222,1,1
1223,1,1
1224,1,1
1225,4,1
1226,4,1
1227,1,1
1229,3,1
1230,4,1
1231,1,1
1233,4,1
1234,1,1
1235,4,1
1236,2,1
1237,1,1
1238,1,1
1239,1,1
1240,3,1
1241,1,1
1244,1,1
1245,1,1
1246,3,1
1247,3,1
1248,4,1
1249,4,1
1250,1,1
1251,1,1
1252,1,1
1253,3,1
1254,3,1
1255,4,1
1257,1,1
1258,3,1
1260,1,1
1261,1,1
1262,1,1
1263,1,1
1265,1,1
1266,3,1
1267,1,1
1270,2,1
1271,4,1
