item_id,feature_id,data
0,0,1
1,0,1
2,0,21
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
10,0,3
11,0,1
12,0,1
13,0,1
15,0,1
16,0,3
17,0,1
18,0,2
19,0,1
20,0,14
21,0,27
22,0,1
25,0,1
26,0,3
27,0,3
28,0,21
30,0,1
31,0,11
33,0,1
35,0,2
36,0,3
37,0,26
38,0,27
39,0,1
40,0,14
41,0,1
42,0,1
43,0,13
44,0,1
46,0,31
47,0,3
48,0,3
49,0,11
51,0,9
52,0,9
53,0,1
54,0,1
55,0,1
56,0,1
57,0,11
58,0,3
59,0,1
61,0,1
62,0,11
63,0,1
65,0,1
67,0,1
68,0,1
69,0,21
70,0,3
71,0,11
72,0,1
73,0,3
75,0,11
76,0,1
77,0,21
79,0,1
80,0,2
81,0,1
82,0,2
83,0,14
84,0,1
86,0,6
87,0,25
88,0,7
89,0,1
93,0,1
94,0,58
95,0,1
96,0,1
97,0,27
98,0,1
99,0,1
100,0,1
102,0,1
103,0,1
104,0,3
105,0,1
106,0,7
107,0,14
108,0,1
109,0,1
110,0,2
111,0,26
113,0,1
114,0,1
116,0,7
117,0,2
118,0,1
119,0,63
120,0,3
122,0,1
124,0,3
125,0,1
126,0,1
127,0,1
128,0,1
129,0,1
130,0,22
133,0,1
134,0,1
135,0,1
136,0,1
137,0,23
139,0,1
140,0,27
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
148,0,1
152,0,1
153,0,1
154,0,3
156,0,1
157,0,1
158,0,27
159,0,1
160,0,1
161,0,3
162,0,27
163,0,21
164,0,1
166,0,9
167,0,1
168,0,1
170,0,25
171,0,1
172,0,1
173,0,1
174,0,26
175,0,1
176,0,1
177,0,17
178,0,1
179,0,27
181,0,1
183,0,46
184,0,13
185,0,59
186,0,1
187,0,3
188,0,1
189,0,1
192,0,1
193,0,2
194,0,3
195,0,7
196,0,1
197,0,1
198,0,1
200,0,1
202,0,1
203,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,0,1
211,0,1
212,0,1
214,0,1
215,0,1
219,0,1
221,0,1
222,0,1
223,0,1
225,0,23
227,0,15
228,0,1
229,0,15
230,0,1
232,0,1
233,0,51
234,0,1
235,0,1
236,0,16
237,0,1
238,0,1
241,0,3
242,0,26
243,0,1
244,0,3
245,0,2
246,0,1
247,0,1
248,0,3
249,0,1
251,0,14
253,0,1
254,0,1
256,0,1
257,0,35
258,0,35
259,0,1
260,0,12
261,0,3
262,0,10
263,0,4
264,0,11
265,0,1
266,0,1
268,0,14
270,0,1
271,0,1
272,0,1
273,0,1
274,0,2
275,0,1
277,0,2
278,0,1
279,0,17
280,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,0,1
288,0,2
289,0,3
291,0,1
292,0,1
294,0,1
295,0,1
296,0,2
297,0,1
298,0,9
299,0,3
300,0,1
302,0,56
303,0,3
305,0,1
306,0,1
307,0,72
308,0,1
309,0,7
310,0,17
311,0,1
312,0,59
313,0,34
314,0,14
316,0,1
318,0,1
319,0,3
320,0,1
321,0,8
322,0,3
323,0,2
324,0,1
325,0,1
326,0,52
327,0,11
328,0,1
330,0,1
331,0,9
332,0,1
333,0,3
334,0,2
335,0,1
336,0,1
337,0,220
338,0,1
339,0,1
340,0,1
341,0,1
342,0,27
344,0,1
345,0,3
346,0,1
347,0,2
348,0,1
349,0,1
350,0,1
351,0,1
352,0,1
353,0,1
354,0,3
355,0,1
356,0,3
358,0,1
359,0,3
360,0,1
361,0,1
362,0,2
363,0,1
364,0,1
366,0,1
367,0,1
368,0,1
369,0,41
370,0,1
371,0,1
372,0,3
375,0,3
377,0,27
378,0,1
379,0,3
380,0,14
381,0,27
382,0,3
383,0,2
384,0,1
385,0,1
386,0,17
388,0,1
389,0,13
390,0,4
391,0,1
393,0,3
394,0,1
395,0,1
396,0,1
398,0,1
399,0,1
400,0,3
402,0,61
404,0,1
406,0,1
408,0,1
409,0,1
410,0,1
411,0,1
412,0,3
413,0,5
415,0,1
416,0,1
417,0,3
418,0,13
419,0,11
420,0,17
421,0,1
422,0,9
424,0,1
425,0,3
427,0,11
428,0,1
429,0,1
431,0,3
432,0,36
433,0,1
436,0,14
437,0,1
438,0,26
439,0,1
440,0,15
441,0,7
442,0,1
444,0,1
446,0,13
447,0,18
448,0,1
450,0,1
451,0,1
452,0,21
453,0,1
456,0,7
457,0,2
458,0,9
459,0,1
460,0,1
461,0,11
462,0,1
463,0,1
464,0,1
465,0,1
466,0,1
467,0,21
468,0,2
469,0,1
471,0,1
472,0,3
473,0,20
474,0,23
475,0,1
476,0,1
477,0,1
479,0,1
480,0,1
481,0,15
482,0,1
484,0,3
485,0,1
486,0,1
487,0,1
488,0,14
489,0,3
490,0,1
491,0,179
492,0,27
493,0,1
494,0,1
495,0,1
496,0,1
497,0,1
498,0,14
499,0,33
500,0,13
502,0,1
503,0,1
504,0,1
505,0,1
506,0,26
507,0,1
508,0,1
509,0,1
511,0,9
512,0,24
